slug,severity,title,title_english,h1,h1_english,desc,desc_english
cement-mixer,CRITICAL,Cement Mixer: Finalização da Tartaruga no BJJ | BJJ Wiki,"Cement,Mixer,Tartaruga",Cement Mixer,"Cement,Mixer",Guia completo do Cement Mixer: uma finalização de crank de braço e pescoço a partir da posição de tartaruga. Detalha mec,"completo,Cement,Mixer,crank,partir"
crucifix,CRITICAL,Crucifix no BJJ: Controle e Finalizações | BJJ Wiki,"Crucifix,Controle",Crucifix,Crucifix,"Guia completo da posição Crucifix no BJJ: como chegar da tartaruga, finalizações e escapes. Domine essa técnica!","completo,Crucifix,chegar,tartaruga,escapes"
darce-choke,INFO,D'Arce Choke BJJ: Guia Completo da Finalização Poderosa no Jiu-Jitsu | BJJ Wiki,"Choke,Completo,Poderosa",D'Arce Choke BJJ: Domine a Finalização de Estrangulamento Mais Eficaz,"Choke,Estrangulamento,Eficaz",Aprenda a aplicar o D,"Aprenda,aplicar"
estima-lock,CRITICAL,Estima Lock | BJJ Wiki,Estima,Estima Lock,Estima,"Aprenda o Estima Lock, a finalização de pé furtiva e escondida na passagem de guarda. Homenagem a Braulio Estima.","Aprenda,Estima,furtiva,escondida,Homenagem"
guillotine,CRITICAL,Guilhotina | BJJ Wiki,Guilhotina,,,,
imanari-roll,CRITICAL,Imanari Roll: Guia de Leg Locks | BJJ Wiki,"Imanari,Locks",Imanari Roll,Imanari,Guia completo do Imanari Roll – a entrada giratória para leg locks popularizada por Masakazu Imanari. Aprenda a configur,"completo,Imanari,entrada,locks,popularizada"
news,CRITICAL,BJJ Semanal — Técnicas em destaque e calendário de torneios | BJJ App Wiki,"Semanal,destaque,torneios",📰 BJJ Semanal,Semanal,"Resumo semanal de técnicas em destaque, calendários reais de torneios (CBJJ, CBJJE, Copa Pódio, IBJJF, ADCC) e atualizaç","Resumo,semanal,destaque,reais,torneios"
over-under-pass,CRITICAL,Over Under Pass | Wiki BJJ,Under,Over Under Pass,Under,"Domine o over under pass, a passagem de pressão de Bernardo Faria. Aprenda a quebrar a guarda, o posicionamento e finali","under,Bernardo,Faria,Aprenda,quebrar"
peruvian-necktie,CRITICAL,Peruvian Necktie: Finalização de Headlock Frontal no BJJ | BJJ Wiki,"Peruvian,Necktie,Headlock,Frontal",Peruvian Necktie,"Peruvian,Necktie","Aprenda o Peruvian Necktie, uma finalização de headlock frontal poderosa usada no BJJ e MMA. Descrição passo a passo da ","Aprenda,Peruvian,Necktie,headlock,frontal"
privacy,CRITICAL,Privacidade | BJJ Wiki,Privacidade,,,,
quarter-guard,CRITICAL,"Quarter Guard no BJJ: Defesas, Raspagens e Ataques | BJJ Wiki","Quarter,Guard,Defesas,Raspagens,Ataques",Quarter Guard,"Quarter,Guard","Guia completo da Quarter Guard no BJJ: o que é, como defender, raspar e atacar. Essencial para sua evolução no jiu-jitsu","completo,Quarter,Guard,defender,raspar"
skill-tree,INFO,Árvore de Habilidades BJJ — Acompanhe Seu Progresso | BJJ Wiki,"Habilidades,Acompanhe,Progresso",Árvore de Habilidades BJJ,Habilidades,Interactive BJJ skill progression tree. Track which techniques you,"Interactive,skill,progression,Track,which"
